Data	Label
wait in the passage , and send up her name .-- She heard Patty announcing it ; but no such bustle succeeded as poor Miss Bates had before made so happily intelligible .-- No ; she heard nothing but the instant reply of , " Beg her to walk up ;"-- and a moment afterwards she was met on the stairs by Jane herself , coming eagerly forward , as if no other reception of her were felt sufficient .-- Emma had never seen her look so well , so lovely , so engaging . There was consciousness , animation	s
to penetrate Mrs . Elton ' s thoughts , and understand why she was , like herself , in happy spirits ; it was being in Miss Fairfax ' s confidence , and fancying herself acquainted with what was still a secret to other people . Emma saw symptoms of it immediately in the expression of her face ; and while paying her own compliments to Mrs . Bates , and appearing to attend to the good old lady ' s replies , she saw her with a sort of anxious parade of mystery fold up a letter which she	s
cloud upon the spirits of some .-- So it appeared to me at least , but I might be mistaken . However , I think it answered so far as to tempt one to go again . What say you both to our collecting the same party , and exploring to Box Hill again , while the fine weather lasts ?-- It must be the same party , you know , quite the same party , not _one_ exception ." Soon after this Miss Bates came in , and Emma could not help being diverted by the perplexity of her	s
himself from Knightley ; but he and Knightley are shut up together in deep consultation .-- Mr . E . is Knightley ' s right hand ." Emma would not have smiled for the world , and only said , " Is Mr . Elton gone on foot to Donwell ?-- He will have a hot walk ." " Oh ! no , it is a meeting at the Crown , a regular meeting . Weston and Cole will be there too ; but one is apt to speak only of those who lead .-- I fancy Mr . E	s
My dear Mr . E ., he must have left a message for you , I am sure he must .-- Not even Knightley could be so very eccentric ;-- and his servants forgot it . Depend upon it , that was the case : and very likely to happen with the Donwell servants , who are all , I have often observed , extremely awkward and remiss .-- I am sure I would not have such a creature as his Harry stand at our sideboard for any consideration . And as for Mrs . Hodges , Wright holds her	s
I love every thing that is decided and open !-- Good - bye , good - bye ." CHAPTER XVII Mrs . Weston ' s friends were all made happy by her safety ; and if the satisfaction of her well - doing could be increased to Emma , it was by knowing her to be the mother of a little girl . She had been decided in wishing for a Miss Weston . She would not acknowledge that it was with any view of making a match for her , hereafter , with either of Isabella ' s sons	s
at all . It will be the only difference ." " Poor child !" cried Emma ; " at that rate , what will become of her ?" " Nothing very bad .-- The fate of thousands . She will be disagreeable in infancy , and correct herself as she grows older . I am losing all my bitterness against spoilt children , my dearest Emma . I , who am owing all my happiness to _you_ , would not it be horrible ingratitude in me to be severe on them ?" Emma laughed , and replied : " But	s
feared .-- I wish our opinions were the same . But in time they will . Time , you may be sure , will make one or the other of us think differently ; and , in the meanwhile , we need not talk much on the subject ." " You mistake me , you quite mistake me ," she replied , exerting herself . " It is not that such a circumstance would now make me unhappy , but I cannot believe it . It seems an impossibility !-- You cannot mean to say , that Harriet Smith has	s
I was !-- for I had reason to believe her very lately more determined against him , much more , than she was before ." " You ought to know your friend best ," replied Mr . Knightley ; " but I should say she was a good - tempered , soft - hearted girl , not likely to be very , very determined against any young man who told her he loved her ." Emma could not help laughing as she answered , " Upon my word , I believe you know her quite as well as I do	s
and for Robert Martin ' s sake , ( whom I have always had reason to believe as much in love with her as ever ,) to get acquainted with her . I have often talked to her a good deal . You must have seen that I did . Sometimes , indeed , I have thought you were half suspecting me of pleading poor Martin ' s cause , which was never the case ; but , from all my observations , I am convinced of her being an artless , amiable girl , with very good notions ,	s
sending for Perry , and only regretted that she had not done it . " She should always send for Perry , if the child appeared in the slightest degree disordered , were it only for a moment . She could not be too soon alarmed , nor send for Perry too often . It was a pity , perhaps , that he had not come last night ; for , though the child seemed well now , very well considering , it would probably have been better if Perry had seen it ." Frank Churchill caught the name .	s
did look a little foolish at first : but having once owned that she had been presumptuous and silly , and self - deceived , before , her pain and confusion seemed to die away with the words , and leave her without a care for the past , and with the fullest exultation in the present and future ; for , as to her friend ' s approbation , Emma had instantly removed every fear of that nature , by meeting her with the most unqualified congratulations .-- Harriet was most happy to give every particular of the evening	s
, that his daughter ' s courage failed . She could not bear to see him suffering , to know him fancying himself neglected ; and though her understanding almost acquiesced in the assurance of both the Mr . Knightleys , that when once the event were over , his distress would be soon over too , she hesitated -- she could not proceed . In this state of suspense they were befriended , not by any sudden illumination of Mr . Woodhouse ' s mind , or any wonderful change of his nervous system , but by the operation	s
in his youth ; and , at fifty - four , was still a very fine man . Few women could think more of their personal appearance than he did , nor could the valet of any new made lord be more delighted with the place he held in society . He considered the blessing of beauty as inferior only to the blessing of a baronetcy ; and the Sir Walter Elliot , who united these gifts , was the constant object of his warmest respect and devotion . His good looks and his rank had one fair claim on	s
be her home . Sir Walter had at first thought more of London ; but Mr Shepherd felt that he could not be trusted in London , and had been skilful enough to dissuade him from it , and make Bath preferred . It was a much safer place for a gentleman in his predicament : he might there be important at comparatively little expense . Two material advantages of Bath over London had of course been given all their weight : its more convenient distance from Kellynch , only fifty miles , and Lady Russell ' s spending some	s
their own hours , following their own pursuits , and living on their own property , without the torment of trying for more ; it is only their lot , I say , to hold the blessings of health and a good appearance to the utmost : I know no other set of men but what lose something of their personableness when they cease to be quite young ." It seemed as if Mr Shepherd , in this anxiety to bespeak Sir Walter ' s good will towards a naval officer as tenant , had been gifted with foresight ;	s
with Sir Walter , he mentioned it no more ; returning , with all his zeal , to dwell on the circumstances more indisputably in their favour ; their age , and number , and fortune ; the high idea they had formed of Kellynch Hall , and extreme solicitude for the advantage of renting it ; making it appear as if they ranked nothing beyond the happiness of being the tenants of Sir Walter Elliot : an extraordinary taste , certainly , could they have been supposed in the secret of Sir Walter ' s estimate of the dues	s
, youth - killing dependence ! It must not be , if by any fair interference of friendship , any representations from one who had almost a mother ' s love , and mother ' s rights , it would be prevented . Captain Wentworth had no fortune . He had been lucky in his profession ; but spending freely , what had come freely , had realized nothing . But he was confident that he should soon be rich : full of life and ardour , he knew that he should soon have a ship , and soon be	s
its casements ; but upon the marriage of the young ' squire , it had received the improvement of a farm - house elevated into a cottage , for his residence , and Uppercross Cottage , with its veranda , French windows , and other prettiness , was quite as likely to catch the traveller ' s eye as the more consistent and considerable aspect and premises of the Great House , about a quarter of a mile farther on . Here Anne had often been staying . She knew the ways of Uppercross as well as those of Kellynch	s
will be , and who will be there ; and it is so very uncomfortable not having a carriage of one ' s own . Mr and Mrs Musgrove took me , and we were so crowded ! They are both so very large , and take up so much room ; and Mr Musgrove always sits forward . So , there was I , crowded into the back seat with Henrietta and Louise ; and I think it very likely that my illness to - day may be owing to it ." A little further perseverance in patience and	s
acknowledged it to be very fitting , that every little social commonwealth should dictate its own matters of discourse ; and hoped , ere long , to become a not unworthy member of the one she was now transplanted into . With the prospect of spending at least two months at Uppercross , it was highly incumbent on her to clothe her imagination , her memory , and all her ideas in as much of Uppercross as possible . She had no dread of these two months . Mary was not so repulsive and unsisterly as Elizabeth , nor so	s
from books or anything else . He had very good spirits , which never seemed much affected by his wife ' s occasional lowness , bore with her unreasonableness sometimes to Anne ' s admiration , and upon the whole , though there was very often a little disagreement ( in which she had sometimes more share than she wished , being appealed to by both parties ), they might pass for a happy couple . They were always perfectly agreed in the want of more money , and a strong inclination for a handsome present from his father ;	s
she was continually requested , or at least receiving hints to exert it , beyond what was practicable . " I wish you could persuade Mary not to be always fancying herself ill ," was Charles ' s language ; and , in an unhappy mood , thus spoke Mary : " I do believe if Charles were to see me dying , he would not think there was anything the matter with me . I am sure , Anne , if you would , you might persuade him that I really am very ill -- a great deal worse	s
so often as I otherwise should . I believe Mrs Charles is not quite pleased with my not inviting them oftener ; but you know it is very bad to have children with one that one is obligated to be checking every moment ; " don ' t do this ," and " don ' t do that ;" or that one can only keep in tolerable order by more cake than is good for them ." She had this communication , moreover , from Mary . " Mrs Musgrove thinks all her servants so steady , that it would	s
could do little more than listen patiently , soften every grievance , and excuse each to the other ; give them all hints of the forbearance necessary between such near neighbours , and make those hints broadest which were meant for her sister ' s benefit . In all other respects , her visit began and proceeded very well . Her own spirits improved by change of place and subject , by being removed three miles from Kellynch ; Mary ' s ailments lessened by having a constant companion , and their daily intercourse with the other family , since	s
only two disinterested letters ; all the rest had been mere applications for money . In each letter he had spoken well of his captain ; but yet , so little were they in the habit of attending to such matters , so unobservant and incurious were they as to the names of men or ships , that it had made scarcely any impression at the time ; and that Mrs Musgrove should have been suddenly struck , this very day , with a recollection of the name of Wentworth , as connected with her son , seemed one of	s
she supposed , they must meet ; and soon she began to wish that she could feel secure even for a week . Captain Wentworth made a very early return to Mr Musgrove ' s civility , and she was all but calling there in the same half hour . She and Mary were actually setting forward for the Great House , where , as she afterwards learnt , they must inevitably have found him , when they were stopped by the eldest boy ' s being at that moment brought home in consequence of a bad fall . The	s
evening ! I knew how it would be . This is always my luck . If there is anything disagreeable going on men are always sure to get out of it , and Charles is as bad as any of them . Very unfeeling ! I must say it is very unfeeling of him to be running away from his poor little boy . Talks of his being going on so well ! How does he know that he is going on well , or that there may not be a sudden change half an hour hence ? I did	s
Charles do anything ; he always minds you at a word . It will be a great deal better than leaving him only with Jemima . Oh ! I shall certainly go ; I am sure I ought if I can , quite as much as Charles , for they want me excessively to be acquainted with Captain Wentworth , and I know you do not mind being left alone . An excellent thought of yours , indeed , Anne . I will go and tell Charles , and get ready directly . You can send for us , you	s
, however , she began to reason with herself , and try to be feeling less . Eight years , almost eight years had passed , since all had been given up . How absurd to be resuming the agitation which such an interval had banished into distance and indistinctness ! What might not eight years do ? Events of every description , changes , alienations , removals -- all , all must be comprised in it , and oblivion of the past -- how natural , how certain too ! It included nearly a third part of her own	s
old built sloop , you would not see her equal . Lucky fellow to get her ! He knows there must have been twenty better men than himself applying for her at the same time . Lucky fellow to get anything so soon , with no more interest than his ." " I felt my luck , Admiral , I assure you ;" replied Captain Wentworth , seriously . " I was as well satisfied with my appointment as you can desire . It was a great object with me at that time to be at sea ; a very	s
I never had two days of foul weather all the time I was at sea in her ; and after taking privateers enough to be very entertaining , I had the good luck in my passage home the next autumn , to fall in with the very French frigate I wanted . I brought her into Plymouth ; and here another instance of luck . We had not been six hours in the Sound , when a gale came on , which lasted four days and nights , and which would have done for poor old Asp in half the	s
sheep , and dawdling about in a way not endurable to a third person , or driving out in a gig , lately added to their establishment . Hitherto there had been but one opinion of Captain Wentworth among the Musgroves and their dependencies . It was unvarying , warm admiration everywhere ; but this intimate footing was not more than established , when a certain Charles Hayter returned among them , to be a good deal disturbed by it , and to think Captain Wentworth very much in the way . Charles Hayter was the eldest of all the	s
much less calculated for making matters easy -- Charles Hayter , probably not at all better pleased by the sight of Captain Wentworth than Captain Wentworth had been by the sight of Anne . She only attempted to say , " How do you do ? Will you not sit down ? The others will be here presently ." Captain Wentworth , however , came from his window , apparently not ill - disposed for conversation ; but Charles Hayter soon put an end to his attempts by seating himself near the table , and taking up the newspaper ;	s
her . After one of the many praises of the day , which were continually bursting forth , Captain Wentworth added : -- " What glorious weather for the Admiral and my sister ! They meant to take a long drive this morning ; perhaps we may hail them from some of these hills . They talked of coming into this side of the country . I wonder whereabouts they will upset to - day . Oh ! it does happen very often , I assure you ; but my sister makes nothing of it ; she would as lieve	s
suffer heavily , uniting very strong feelings with quiet , serious , and retiring manners , and a decided taste for reading , and sedentary pursuits . To finish the interest of the story , the friendship between him and the Harvilles seemed , if possible , augmented by the event which closed all their views of alliance , and Captain Benwick was now living with them entirely . Captain Harville had taken his present house for half a year ; his taste , and his health , and his fortune , all directing him to a residence inexpensive ,	s
lost in the pleasanter feelings which sprang from the sight of all the ingenious contrivances and nice arrangements of Captain Harville , to turn the actual space to the best account , to supply the deficiencies of lodging - house furniture , and defend the windows and doors against the winter storms to be expected . The varieties in the fitting - up of the rooms , where the common necessaries provided by the owner , in the common indifferent plight , were contrasted with some few articles of a rare species of wood , excellently worked up , and	s
whom she found herself walking , burst forth into raptures of admiration and delight on the character of the navy ; their friendliness , their brotherliness , their openness , their uprightness ; protesting that she was convinced of sailors having more worth and warmth than any other set of men in England ; that they only knew how to live , and they only deserved to be respected and loved . They went back to dress and dine ; and so well had the scheme answered already , that nothing was found amiss ; though its being " so	s
claims of Dr Shirley to repose as she ought ; saw how very desirable it was that he should have some active , respectable young man , as a resident curate , and was even courteous enough to hint at the advantage of such resident curate ' s being married . " I wish ," said Henrietta , very well pleased with her companion , " I wish Lady Russell lived at Uppercross , and were intimate with Dr Shirley . I have always heard of Lady Russell as a woman of the greatest influence with everybody ! I always	s
who is just gone away ?" " Yes , Sir , a Mr Elliot , a gentleman of large fortune , came in last night from Sidmouth . Dare say you heard the carriage , sir , while you were at dinner ; and going on now for Crewkherne , in his way to Bath and London ." " Elliot !" Many had looked on each other , and many had repeated the name , before all this had been got through , even by the smart rapidity of a waiter . " Bless me !" cried Mary ; "	s
looked at him more . I wish we had been aware in time , who it was , that he might have been introduced to us . What a pity that we should not have been introduced to each other ! Do you think he had the Elliot countenance ? I hardly looked at him , I was looking at the horses ; but I think he had something of the Elliot countenance , I wonder the arms did not strike me ! Oh ! the great - coat was hanging over the panel , and hid the arms ,	s
Had not she better be carried to the inn ? Yes , I am sure : carry her gently to the inn ." " Yes , yes , to the inn ," repeated Captain Wentworth , comparatively collected , and eager to be doing something . " I will carry her myself . Musgrove , take care of the others ." By this time the report of the accident had spread among the workmen and boatmen about the Cobb , and many were collected near them , to be useful if wanted , at any rate , to enjoy the	s
Mrs Musgrove should be previously alarmed by some share of delay ; yet the time required by the Uppercross horses to take them back , would be a dreadful extension of suspense ; and Captain Wentworth proposed , and Charles Musgrove agreed , that it would be much better for him to take a chaise from the inn , and leave Mr Musgrove ' s carriage and horses to be sent home the next morning early , when there would be the farther advantage of sending an account of Louisa ' s night . Captain Wentworth now hurried off to	s
in this way , that Anne thought she could not do better than impart among them the general inclination to which she was privy , and persuaded them all to go to Lyme at once . She had little difficulty ; it was soon determined that they would go ; go to - morrow , fix themselves at the inn , or get into lodgings , as it suited , and there remain till dear Louisa could be moved . They must be taking off some trouble from the good people she was with ; they might at least relieve	s
all that was glowing and bright in prosperous love , all that was most unlike Anne Elliot ! An hour ' s complete leisure for such reflections as these , on a dark November day , a small thick rain almost blotting out the very few objects ever to be discerned from the windows , was enough to make the sound of Lady Russell ' s carriage exceedingly welcome ; and yet , though desirous to be gone , she could not quit the Mansion House , or look an adieu to the Cottage , with its black , dripping	s
the laundry - door , at Uppercross . That has been a very great improvement . The wonder was , how any family upon earth could bear with the inconvenience of its opening as it did , so long ! You will tell Sir Walter what we have done , and that Mr Shepherd thinks it the greatest improvement the house ever had . Indeed , I must do ourselves the justice to say , that the few alterations we have made have been all very much for the better . My wife should have the credit of them ,	s
but her head , though clear , was exceedingly weak , and her nerves susceptible to the highest extreme of tenderness ; and though she might be pronounced to be altogether doing very well , it was still impossible to say when she might be able to bear the removal home ; and her father and mother , who must return in time to receive their younger children for the Christmas holidays , had hardly a hope of being allowed to bring her with them . They had been all in lodgings together . Mrs Musgrove had got Mrs Harville	s
I have really a curiosity to see the person who can give occasion to such directly opposite notions . I wish he may be induced to call here . And when he does , Mary , you may depend upon hearing my opinion ; but I am determined not to judge him beforehand ." " You will not like him , I will answer for it ." Lady Russell began talking of something else . Mary spoke with animation of their meeting with , or rather missing , Mr Elliot so extraordinarily . " He is a man ," said	s
the last , Captain Benwick seemed much more disposed to ride over to Kellynch . There can be no doubt that Lady Russell and Anne were both occasionally thinking of Captain Benwick , from this time . Lady Russell could not hear the door - bell without feeling that it might be his herald ; nor could Anne return from any stroll of solitary indulgence in her father ' s grounds , or any visit of charity in the village , without wondering whether she might see him or hear of him . Captain Benwick came not , however .	s
. It might be him , perhaps ." They could not listen to her description of him . They were describing him themselves ; Sir Walter especially . He did justice to his very gentlemanlike appearance , his air of elegance and fashion , his good shaped face , his sensible eye ; but , at the same time , " must lament his being very much under - hung , a defect which time seemed to have increased ; nor could he pretend to say that ten years had not altered almost every feature for the worse . Mr	s
more of , as herself . They went through the particulars of their first meeting a great many times . He gave her to understand that he had looked at her with some earnestness . She knew it well ; and she remembered another person ' s look also . They did not always think alike . His value for rank and connexion she perceived was greater than hers . It was not merely complaisance , it must be a liking to the cause , which made him enter warmly into her father and sister ' s solicitudes on a	s
the warm bath . Yet , in spite of all this , Anne had reason to believe that she had moments only of languor and depression , to hours of occupation and enjoyment . How could it be ? She watched , observed , reflected , and finally determined that this was not a case of fortitude or of resignation only . A submissive spirit might be patient , a strong understanding would supply resolution , but here was something more ; here was that elasticity of mind , that disposition to be comforted , that power of turning readily	s
not sorry for the excuse . They were only asked , she was sure , because Lady Dalrymple being kept at home by a bad cold , was glad to make use of the relationship which had been so pressed on her ; and she declined on her own account with great alacrity --" She was engaged to spend the evening with an old schoolfellow ." They were not much interested in anything relative to Anne ; but still there were questions enough asked , to make it understood what this old schoolfellow was ; and Elizabeth was disdainful ,	s
of the possibilities of such a case was against Mr Elliot . Though they had now been acquainted a month , she could not be satisfied that she really knew his character . That he was a sensible man , an agreeable man , that he talked well , professed good opinions , seemed to judge properly and as a man of principle , this was all clear enough . He certainly knew what was right , nor could she fix on any one article of moral duty evidently transgressed ; but yet she would have been afraid to answer	s
. Indeed , Mrs Harville and I quite agree that we love her the better for having nursed her . Charles wonders what Captain Wentworth will say ; but if you remember , I never thought him attached to Louisa ; I never could see anything of it . And this is the end , you see , of Captain Benwick ' s being supposed to be an admirer of yours . How Charles could take such a thing into his head was always incomprehensible to me . I hope he will be more agreeable now . Certainly not a	s
interrupted her with -- " And the thing is certainly true . It is not a mere bit of gossip . We have it from Frederick himself . His sister had a letter from him yesterday , in which he tells us of it , and he had just had it in a letter from Harville , written upon the spot , from Uppercross . I fancy they are all at Uppercross ." This was an opportunity which Anne could not resist ; she said , therefore , " I hope , Admiral , I hope there is nothing in	s
than Miss Anne ' s ; and , in short , her civility rendered her quite as anxious to be left to walk with Mr Elliot as Anne could be , and it was discussed between them with a generosity so polite and so determined , that the others were obliged to settle it for them ; Miss Elliot maintaining that Mrs Clay had a little cold already , and Mr Elliot deciding on appeal , that his cousin Anne ' s boots were rather the thickest . It was fixed accordingly , that Mrs Clay should be of the	s
Bath , excepting as you might hear me previously spoken of in my own family ." " I knew you by report long before you came to Bath . I had heard you described by those who knew you intimately . I have been acquainted with you by character many years . Your person , your disposition , accomplishments , manner ; they were all present to me ." Mr Elliot was not disappointed in the interest he hoped to raise . No one can withstand the charm of such a mystery . To have been described long ago to	s
to talk to him . She wished him not so near her . The first act was over . Now she hoped for some beneficial change ; and , after a period of nothing - saying amongst the party , some of them did decide on going in quest of tea . Anne was one of the few who did not choose to move . She remained in her seat , and so did Lady Russell ; but she had the pleasure of getting rid of Mr Elliot ; and she did not mean , whatever she might feel on	s
if you would have the goodness , my dear Miss Elliot , to make it an object to yourself , of course it is done ." " I should be extremely happy ; I hope you cannot doubt my willingness to be of even the slightest use to you ," replied Anne ; " but I suspect that you are considering me as having a higher claim on Mr Elliot , a greater right to influence him , than is really the case . I am sure you have , somehow or other , imbibed such a notion . You	s
earnestly , smiled , shook her head , and exclaimed -- " Now , how I do wish I understood you ! How I do wish I knew what you were at ! I have a great idea that you do not design to be cruel , when the right moment occurs . Till it does come , you know , we women never mean to have anybody . It is a thing of course among us , that every man is refused , till he offers . But why should you be cruel ? Let me plead for my	s
struck by a sudden idea , " you sometimes spoke of me to Mr Elliot ?" " To be sure I did ; very often . I used to boast of my own Anne Elliot , and vouch for your being a very different creature from --" She checked herself just in time . " This accounts for something which Mr Elliot said last night ," cried Anne . " This explains it . I found he had been used to hear of me . I could not comprehend how . What wild imaginations one forms where dear self is	s
her father . She was obliged to recollect that her seeing the letter was a violation of the laws of honour , that no one ought to be judged or to be known by such testimonies , that no private correspondence could bear the eye of others , before she could recover calmness enough to return the letter which she had been meditating over , and say -- " Thank you . This is full proof undoubtedly ; proof of every thing you were saying . But why be acquainted with us now ?" " I can explain this too	s
, a sensible , careful , discerning sort of character ; but Colonel Wallis has a very pretty silly wife , to whom he tells things which he had better not , and he repeats it all to her . She in the overflowing spirits of her recovery , repeats it all to her nurse ; and the nurse knowing my acquaintance with you , very naturally brings it all to me . On Monday evening , my good friend Mrs Rooke let me thus much into the secrets of Marlborough Buildings . When I talked of a whole history	s
present opinion , as to the probability of the event he has been in dread of ; whether he considers the danger to be lessening or not ." " Lessening , I understand ," replied Mrs Smith . " He thinks Mrs Clay afraid of him , aware that he sees through her , and not daring to proceed as she might do in his absence . But since he must be absent some time or other , I do not perceive how he can ever be secure while she holds her present influence . Mrs Wallis has an amusing	s
but I shall know better what to do . My line of conduct will be more direct . Mr Elliot is evidently a disingenuous , artificial , worldly man , who has never had any better principle to guide him than selfishness ." But Mr Elliot was not done with . Mrs Smith had been carried away from her first direction , and Anne had forgotten , in the interest of her own family concerns , how much had been originally implied against him ; but her attention was now called to the explanation of those first hints , and	s
picture of ingratitude and inhumanity ; and Anne felt , at some moments , that no flagrant open crime could have been worse . She had a great deal to listen to ; all the particulars of past sad scenes , all the minutiae of distress upon distress , which in former conversations had been merely hinted at , were dwelt on now with a natural indulgence . Anne could perfectly comprehend the exquisite relief , and was only the more inclined to wonder at the composure of her friend ' s usual state of mind . There was one	s
unkind to his first wife . They were wretched together . But she was too ignorant and giddy for respect , and he had never loved her . I was willing to hope that you must fare better ." Anne could just acknowledge within herself such a possibility of having been induced to marry him , as made her shudder at the idea of the misery which must have followed . It was just possible that she might have been persuaded by Lady Russell ! And under such a supposition , which would have been most miserable , when time	s
family ; and , in return , she naturally fell into all her wonted ways of attention and assistance , and on Charles ' s leaving them together , was listening to Mrs Musgrove ' s history of Louisa , and to Henrietta ' s of herself , giving opinions on business , and recommendations to shops ; with intervals of every help which Mary required , from altering her ribbon to settling her accounts ; from finding her keys , and assorting her trinkets , to trying to convince her that she was not ill - used by anybody	s
station , with less bare - faced design , by Anne . " You have not been long enough in Bath ," said he , " to enjoy the evening parties of the place ." " Oh ! no . The usual character of them has nothing for me . I am no card - player ." " You were not formerly , I know . You did not use to like cards ; but time makes many changes ." " I am not yet so much changed ," cried Anne , and stopped , fearing she hardly knew what	s
did not belong to the conversation , and yet , as Captain Harville seemed thoughtful and not disposed to talk , she could not avoid hearing many undesirable particulars ; such as , " how Mr Musgrove and my brother Hayter had met again and again to talk it over ; what my brother Hayter had said one day , and what Mr Musgrove had proposed the next , and what had occurred to my sister Hayter , and what the young people had wished , and what I said at first I never could consent to , but was	s
W . " I must go , uncertain of my fate ; but I shall return hither , or follow your party , as soon as possible . A word , a look , will be enough to decide whether I enter your father ' s house this evening or never ." Such a letter was not to be soon recovered from . Half and hour ' s solitude and reflection might have tranquillized her ; but the ten minutes only which now passed before she was interrupted , with all the restraints of her situation , could do nothing	s
am no doctor myself . Charles , ring and order a chair . She must not walk ." But the chair would never do . Worse than all ! To lose the possibility of speaking two words to Captain Wentworth in the course of her quiet , solitary progress up the town ( and she felt almost certain of meeting him ) could not be borne . The chair was earnestly protested against , and Mrs Musgrove , who thought only of one sort of illness , having assured herself with some anxiety , that there had been no fall	s
s could so ill bear a comparison , or the perfect unrivalled hold it possessed over his own . There , he had learnt to distinguish between the steadiness of principle and the obstinacy of self - will , between the darings of heedlessness and the resolution of a collected mind . There he had seen everything to exalt in his estimation the woman he had lost ; and there begun to deplore the pride , the folly , the madness of resentment , which had kept him from trying to regain her when thrown in his way . From	s
calculations , till at once released from Louisa by the astonishing and felicitous intelligence of her engagement with Benwick . " Here ," said he , " ended the worst of my state ; for now I could at least put myself in the way of happiness ; I could exert myself ; I could do something . But to be waiting so long in inaction , and waiting only for evil , had been dreadful . Within the first five minutes I said , ` I will be at Bath on Wednesday ,' and I was . Was it	s
see your cousin close by you , conversing and smiling , and feel all the horrible eligibilities and proprieties of the match ! To consider it as the certain wish of every being who could hope to influence you ! Even if your own feelings were reluctant or indifferent , to consider what powerful supports would be his ! Was it not enough to make the fool of me which I appeared ? How could I look on without agony ? Was not the very sight of the friend who sat behind you , was not the recollection of what	s
!" was all her answer ; but the accent was decisive enough . " Good God !" he cried , " you would ! It is not that I did not think of it , or desire it , as what could alone crown all my other success ; but I was proud , too proud to ask again . I did not understand you . I shut my eyes , and would not understand you , or do you justice . This is a recollection which ought to make me forgive every one sooner than myself . Six years	s
also secured to her child , and he had only a life - interest in it . The old gentleman died : his will was read , and like almost every other will , gave as much disappointment as pleasure . He was neither so unjust , nor so ungrateful , as to leave his estate from his nephew ;-- but he left it to him on such terms as destroyed half the value of the bequest . Mr . Dashwood had wished for it more for the sake of his wife and daughters than for himself or his son	s
want no addition at all . They will have ten thousand pounds divided amongst them . If they marry , they will be sure of doing well , and if they do not , they may all live very comfortably together on the interest of ten thousand pounds ." " That is very true , and , therefore , I do not know whether , upon the whole , it would not be more advisable to do something for their mother while she lives , rather than for them -- something of the annuity kind I mean .-- My sisters	s
